Participant,Item,Regress,Prime,Target
4,21,1,Positive,Positive
4,22,0,Positive,Negative
4,23,1,Negative,Negative
4,24,1,Negative,Positive
4,25,0,Positive,Positive
4,26,0,Positive,Negative
4,27,0,Negative,Negative
4,28,0,Negative,Positive
4,29,0,Positive,Positive
4,30,1,Positive,Negative
4,31,1,Negative,Negative
4,32,1,Negative,Positive
5,1,1,Positive,Positive
5,2,1,Positive,Negative
5,3,1,Negative,Negative
5,4,0,Negative,Positive
5,5,0,Positive,Positive
5,6,1,Positive,Negative
5,7,1,Negative,Negative
5,8,0,Negative,Positive
5,9,0,Positive,Positive
5,10,1,Positive,Negative
5,11,0,Negative,Negative
5,12,0,Negative,Positive
5,13,1,Positive,Positive
5,14,1,Positive,Negative
5,15,0,Negative,Negative
5,16,1,Negative,Positive
5,17,0,Positive,Positive
5,18,1,Positive,Negative
5,19,0,Negative,Negative
5,20,0,Negative,Positive
5,21,0,Positive,Positive
5,22,1,Positive,Negative
5,23,0,Negative,Negative
5,24,0,Negative,Positive
5,25,1,Positive,Positive
5,26,0,Positive,Negative
5,27,0,Negative,Negative
5,28,0,Negative,Positive
5,29,1,Positive,Positive
5,30,0,Positive,Negative
5,31,1,Negative,Negative
5,32,1,Negative,Positive
6,1,1,Positive,Positive
6,2,1,Positive,Negative
6,3,1,Negative,Negative
6,4,1,Negative,Positive
6,5,0,Positive,Positive
6,6,1,Positive,Negative
6,7,0,Negative,Negative
6,8,0,Negative,Positive
6,9,1,Positive,Positive
6,10,0,Positive,Negative
6,11,0,Negative,Negative
6,12,0,Negative,Positive
6,13,1,Positive,Positive
6,14,0,Positive,Negative
6,15,0,Negative,Negative
6,16,1,Negative,Positive
6,17,1,Positive,Positive
6,18,1,Positive,Negative
6,19,0,Negative,Negative
6,20,0,Negative,Positive
6,21,1,Positive,Positive
6,22,0,Positive,Negative
6,23,1,Negative,Negative
6,24,1,Negative,Positive
6,25,0,Positive,Positive
6,26,1,Positive,Negative
6,27,1,Negative,Negative
6,28,1,Negative,Positive
6,29,1,Positive,Positive
6,30,0,Positive,Negative
6,31,0,Negative,Negative
6,32,0,Negative,Positive
7,1,0,Positive,Positive
7,2,0,Positive,Negative
7,3,0,Negative,Negative
7,4,1,Negative,Positive
7,5,0,Positive,Positive
7,6,1,Positive,Negative
7,7,1,Negative,Negative
7,8,0,Negative,Positive
7,9,0,Positive,Positive
7,10,0,Positive,Negative
7,11,0,Negative,Negative
7,12,0,Negative,Positive
7,13,1,Positive,Positive
7,14,1,Positive,Negative
7,15,0,Negative,Negative
7,16,0,Negative,Positive
7,17,0,Positive,Positive
7,18,1,Positive,Negative
7,19,0,Negative,Negative
7,20,1,Negative,Positive
7,21,1,Positive,Positive
7,22,0,Positive,Negative
7,23,1,Negative,Negative
7,24,0,Negative,Positive
7,25,1,Positive,Positive
7,26,0,Positive,Negative
7,27,0,Negative,Negative
7,28,0,Negative,Positive
7,29,1,Positive,Positive
7,30,0,Positive,Negative
7,31,1,Negative,Negative
7,32,1,Negative,Positive
8,1,1,Positive,Positive
8,2,1,Positive,Negative
8,3,0,Negative,Negative
8,4,0,Negative,Positive
8,5,0,Positive,Positive
8,6,1,Positive,Negative
8,7,0,Negative,Negative
8,8,0,Negative,Positive
8,9,0,Positive,Positive
8,10,0,Positive,Negative
8,11,0,Negative,Negative
8,12,0,Negative,Positive
8,13,0,Positive,Positive
8,14,1,Positive,Negative
8,15,1,Negative,Negative
8,16,0,Negative,Positive
8,17,1,Positive,Positive
8,18,1,Positive,Negative
8,19,0,Negative,Negative
8,20,1,Negative,Positive
8,21,1,Positive,Positive
8,22,0,Positive,Negative
8,23,0,Negative,Negative
8,24,0,Negative,Positive
8,25,0,Positive,Positive
8,26,1,Positive,Negative
8,27,0,Negative,Negative
8,28,0,Negative,Positive
8,29,0,Positive,Positive
8,30,0,Positive,Negative
8,31,0,Negative,Negative
8,32,0,Negative,Positive
9,1,1,Negative,Positive
9,2,1,Positive,Positive
9,3,0,Positive,Negative
9,4,0,Negative,Negative
9,5,1,Negative,Positive
9,6,1,Positive,Positive
9,7,1,Positive,Negative
9,8,0,Negative,Negative
9,9,1,Negative,Positive
9,10,0,Positive,Positive
9,11,1,Positive,Negative
9,12,0,Negative,Negative
9,13,1,Negative,Positive
9,14,0,Positive,Positive
9,15,0,Positive,Negative
9,16,1,Negative,Negative
9,17,0,Negative,Positive
9,18,0,Positive,Positive
9,19,1,Positive,Negative
9,20,0,Negative,Negative
9,21,0,Negative,Positive
9,22,0,Positive,Positive
9,23,1,Positive,Negative
9,24,0,Negative,Negative
9,25,0,Negative,Positive
9,26,0,Positive,Positive
9,27,0,Positive,Negative
9,28,0,Negative,Negative
9,29,1,Negative,Positive
9,30,0,Positive,Positive
9,31,0,Positive,Negative
9,32,0,Negative,Negative
10,1,1,Negative,Positive
10,2,1,Positive,Positive
10,3,0,Positive,Negative
10,4,0,Negative,Negative
10,5,0,Negative,Positive
10,6,0,Positive,Positive
10,7,0,Positive,Negative
10,8,0,Negative,Negative
10,9,0,Negative,Positive
10,10,0,Positive,Positive
10,11,0,Positive,Negative
10,12,0,Negative,Negative
10,13,0,Negative,Positive
10,14,1,Positive,Positive
10,15,0,Positive,Negative
10,16,1,Negative,Negative
10,17,1,Negative,Positive
10,18,0,Positive,Positive
10,19,0,Positive,Negative
10,20,0,Negative,Negative
10,21,0,Negative,Positive
10,22,0,Positive,Positive
10,23,0,Positive,Negative
10,24,0,Negative,Negative
10,25,0,Negative,Positive
10,26,0,Positive,Positive
10,27,0,Positive,Negative
10,28,1,Negative,Negative
10,29,0,Negative,Positive
10,30,0,Positive,Positive
10,31,0,Positive,Negative
10,32,0,Negative,Negative
11,1,0,Negative,Positive
11,2,0,Positive,Positive
11,3,0,Positive,Negative
11,4,0,Negative,Negative
11,5,0,Negative,Positive
11,6,0,Positive,Positive
11,7,0,Positive,Negative
11,8,0,Negative,Negative
11,9,0,Negative,Positive
11,10,1,Positive,Positive
11,11,0,Positive,Negative
11,12,0,Negative,Negative
11,13,0,Negative,Positive
11,14,0,Positive,Positive
11,15,0,Positive,Negative
11,16,1,Negative,Negative
11,17,0,Negative,Positive
11,18,0,Positive,Positive
11,19,0,Positive,Negative
11,20,1,Negative,Negative
11,21,0,Negative,Positive
11,22,0,Positive,Positive
11,23,0,Positive,Negative
11,24,0,Negative,Negative
11,25,0,Negative,Positive
11,26,0,Positive,Positive
11,27,1,Positive,Negative
11,28,0,Negative,Negative
11,29,0,Negative,Positive
11,30,0,Positive,Positive
11,31,1,Positive,Negative
11,32,0,Negative,Negative
12,1,0,Negative,Positive
12,2,1,Positive,Positive
12,3,0,Positive,Negative
12,4,1,Negative,Negative
12,5,0,Negative,Positive
12,6,1,Positive,Positive
12,7,0,Positive,Negative
12,8,1,Negative,Negative
12,9,0,Negative,Positive
12,10,1,Positive,Positive
12,11,1,Positive,Negative
12,12,0,Negative,Negative
12,13,1,Negative,Positive
12,14,0,Positive,Positive
12,15,1,Positive,Negative
12,16,0,Negative,Negative
12,17,1,Negative,Positive
12,18,0,Positive,Positive
12,19,1,Positive,Negative
12,20,1,Negative,Negative
12,21,0,Negative,Positive
12,22,0,Positive,Positive
12,23,1,Positive,Negative
12,24,1,Negative,Negative
12,25,0,Negative,Positive
12,26,0,Positive,Positive
12,27,1,Positive,Negative
12,28,1,Negative,Negative
12,29,0,Negative,Positive
12,30,1,Positive,Positive
12,31,0,Positive,Negative
12,32,1,Negative,Negative
13,1,0,Negative,Positive
13,2,1,Positive,Positive
13,3,0,Positive,Negative
13,4,0,Negative,Negative
13,5,1,Negative,Positive
13,6,1,Positive,Positive
13,7,1,Positive,Negative
13,8,0,Negative,Negative
13,9,1,Negative,Positive
13,10,1,Positive,Positive
13,11,1,Positive,Negative
13,12,0,Negative,Negative
13,13,1,Negative,Positive
13,14,0,Positive,Positive
13,15,1,Positive,Negative
13,16,0,Negative,Negative
13,17,0,Negative,Positive
13,18,0,Positive,Positive
13,19,1,Positive,Negative
13,20,0,Negative,Negative
13,21,0,Negative,Positive
13,22,0,Positive,Positive
13,23,0,Positive,Negative
13,24,0,Negative,Negative
13,25,0,Negative,Positive
13,26,0,Positive,Positive
13,27,1,Positive,Negative
13,28,0,Negative,Negative
13,29,0,Negative,Positive
13,30,0,Positive,Positive
13,31,0,Positive,Negative
13,32,0,Negative,Negative
14,1,0,Negative,Positive
14,2,1,Positive,Positive
14,3,0,Positive,Negative
14,4,0,Negative,Negative
14,5,0,Negative,Positive
14,6,0,Positive,Positive
14,7,1,Positive,Negative
14,8,0,Negative,Negative
14,9,0,Negative,Positive
14,10,0,Positive,Positive
14,11,1,Positive,Negative
14,12,1,Negative,Negative
14,13,0,Negative,Positive
14,14,1,Positive,Positive
14,15,0,Positive,Negative
14,16,0,Negative,Negative
14,17,0,Negative,Positive
14,18,0,Positive,Positive
14,19,1,Positive,Negative
14,20,0,Negative,Negative
14,21,1,Negative,Positive
14,22,1,Positive,Positive
14,23,1,Positive,Negative
14,24,0,Negative,Negative
14,25,0,Negative,Positive
14,26,1,Positive,Positive
14,27,0,Positive,Negative
14,28,1,Negative,Negative
14,29,0,Negative,Positive
14,30,0,Positive,Positive
14,31,1,Positive,Negative
14,32,0,Negative,Negative
15,1,0,Negative,Positive
15,2,0,Positive,Positive
15,3,1,Positive,Negative
15,4,1,Negative,Negative
15,5,1,Negative,Positive
15,6,1,Positive,Positive
15,7,0,Positive,Negative
15,8,1,Negative,Negative
15,9,1,Negative,Positive
15,10,0,Positive,Positive
15,11,1,Positive,Negative
15,12,0,Negative,Negative
15,13,0,Negative,Positive
15,14,1,Positive,Positive
15,15,1,Positive,Negative
15,16,1,Negative,Negative
15,17,1,Negative,Positive
15,18,0,Positive,Positive
15,19,0,Positive,Negative
15,20,0,Negative,Negative
15,21,0,Negative,Positive
15,22,0,Positive,Positive
15,23,1,Positive,Negative
15,24,0,Negative,Negative
15,25,0,Negative,Positive
15,26,0,Positive,Positive
15,27,0,Positive,Negative
15,28,0,Negative,Negative
15,29,0,Negative,Positive
15,30,0,Positive,Positive
15,31,1,Positive,Negative
15,32,0,Negative,Negative
16,1,1,Negative,Positive
16,2,0,Positive,Positive
16,3,1,Positive,Negative
16,4,1,Negative,Negative
16,5,1,Negative,Positive
16,6,1,Positive,Positive
16,7,1,Positive,Negative
16,8,1,Negative,Negative
16,9,1,Negative,Positive
16,10,1,Positive,Positive
16,11,1,Positive,Negative
16,12,1,Negative,Negative
16,13,1,Negative,Positive
16,14,0,Positive,Positive
16,15,1,Positive,Negative
16,16,1,Negative,Negative
16,17,0,Negative,Positive
16,18,1,Positive,Positive
16,19,0,Positive,Negative
16,20,1,Negative,Negative
16,21,0,Negative,Positive
16,22,1,Positive,Positive
16,23,0,Positive,Negative
16,24,0,Negative,Negative
16,25,0,Negative,Positive
16,26,1,Positive,Positive
16,27,1,Positive,Negative
16,28,1,Negative,Negative
16,29,1,Negative,Positive
16,30,1,Positive,Positive
16,31,1,Positive,Negative
16,32,1,Negative,Negative
17,1,0,Negative,Negative
17,2,1,Negative,Positive
17,3,0,Positive,Positive
17,4,0,Positive,Negative
17,5,1,Negative,Negative
17,6,0,Negative,Positive
17,7,1,Positive,Positive
17,8,0,Positive,Negative
17,9,0,Negative,Negative
17,10,1,Negative,Positive
17,11,1,Positive,Positive
17,12,1,Positive,Negative
17,13,0,Negative,Negative
17,14,1,Negative,Positive
17,15,0,Positive,Positive
17,16,0,Positive,Negative
17,17,0,Negative,Negative
17,18,0,Negative,Positive
17,19,1,Positive,Positive
17,20,0,Positive,Negative
17,21,1,Negative,Negative
17,22,0,Negative,Positive
17,23,0,Positive,Positive
17,24,1,Positive,Negative
17,25,0,Negative,Negative
17,26,1,Negative,Positive
17,27,0,Positive,Positive
17,28,1,Positive,Negative
17,29,0,Negative,Negative
17,30,0,Negative,Positive
17,31,0,Positive,Positive
17,32,0,Positive,Negative
18,1,0,Negative,Negative
18,2,0,Negative,Positive
18,3,1,Positive,Positive
18,4,1,Positive,Negative
18,5,0,Negative,Negative
18,6,0,Negative,Positive
18,7,0,Positive,Positive
18,8,1,Positive,Negative
18,9,1,Negative,Negative
18,10,0,Negative,Positive
18,11,1,Positive,Positive
18,12,0,Positive,Negative
18,13,0,Negative,Negative
18,14,0,Negative,Positive
18,15,1,Positive,Positive
18,16,1,Positive,Negative
18,17,1,Negative,Negative
18,18,1,Negative,Positive
18,19,0,Positive,Positive
18,20,0,Positive,Negative
18,21,0,Negative,Negative
18,22,0,Negative,Positive
18,23,0,Positive,Positive
18,24,1,Positive,Negative
18,25,0,Negative,Negative
18,26,1,Negative,Positive
18,27,1,Positive,Positive
18,28,0,Positive,Negative
18,29,0,Negative,Negative
18,30,1,Negative,Positive
18,31,0,Positive,Positive
18,32,1,Positive,Negative
19,1,0,Negative,Negative
19,2,1,Negative,Positive
19,3,1,Positive,Positive
19,4,1,Positive,Negative
19,5,1,Negative,Negative
19,6,0,Negative,Positive
19,7,0,Positive,Positive
19,8,0,Positive,Negative
19,9,1,Negative,Negative
19,10,0,Negative,Positive
19,11,1,Positive,Positive
19,12,1,Positive,Negative
19,13,1,Negative,Negative
19,14,1,Negative,Positive
19,15,0,Positive,Positive
19,16,0,Positive,Negative
19,17,1,Negative,Negative
19,18,1,Negative,Positive
19,19,0,Positive,Positive
19,20,0,Positive,Negative
19,21,1,Negative,Negative
19,22,0,Negative,Positive
19,23,0,Positive,Positive
19,24,0,Positive,Negative
19,25,1,Negative,Negative
19,26,0,Negative,Positive
19,27,0,Positive,Positive
19,28,1,Positive,Negative
19,29,1,Negative,Negative
19,30,0,Negative,Positive
19,31,1,Positive,Positive
19,32,1,Positive,Negative
20,1,1,Negative,Negative
20,2,1,Negative,Positive
20,3,0,Positive,Positive
20,4,1,Positive,Negative
20,5,1,Negative,Negative
20,6,1,Negative,Positive
20,7,0,Positive,Positive
20,8,0,Positive,Negative
20,9,1,Negative,Negative
20,10,0,Negative,Positive
20,11,0,Positive,Positive
20,12,1,Positive,Negative
20,13,0,Negative,Negative
20,14,1,Negative,Positive
20,15,0,Positive,Positive
20,16,0,Positive,Negative
20,17,1,Negative,Negative
20,18,1,Negative,Positive
20,19,0,Positive,Positive
20,20,1,Positive,Negative
20,21,0,Negative,Negative
20,22,0,Negative,Positive
20,23,1,Positive,Positive
20,24,0,Positive,Negative
20,25,0,Negative,Negative
20,26,0,Negative,Positive
20,27,0,Positive,Positive
20,28,1,Positive,Negative
20,29,0,Negative,Negative
20,30,0,Negative,Positive
20,31,0,Positive,Positive
20,32,0,Positive,Negative
21,1,0,Negative,Negative
21,2,1,Negative,Positive
21,3,0,Positive,Positive
21,4,0,Positive,Negative
21,5,0,Negative,Negative
21,6,0,Negative,Positive
21,7,1,Positive,Positive
21,8,1,Positive,Negative
21,9,0,Negative,Negative
21,10,0,Negative,Positive
21,11,0,Positive,Positive
21,12,0,Positive,Negative
21,13,0,Negative,Negative
21,14,0,Negative,Positive
21,15,0,Positive,Positive
21,16,0,Positive,Negative
21,17,0,Negative,Negative
21,18,0,Negative,Positive
21,19,0,Positive,Positive
21,20,0,Positive,Negative
21,21,0,Negative,Negative
21,22,1,Negative,Positive
21,23,0,Positive,Positive
21,24,0,Positive,Negative
21,25,0,Negative,Negative
21,26,0,Negative,Positive
21,27,0,Positive,Positive
21,28,0,Positive,Negative
21,29,0,Negative,Negative
21,30,1,Negative,Positive
21,31,0,Positive,Positive
21,32,1,Positive,Negative
22,1,0,Negative,Negative
22,2,1,Negative,Positive
22,3,0,Positive,Positive
22,4,0,Positive,Negative
22,5,0,Negative,Negative
22,6,0,Negative,Positive
22,7,1,Positive,Positive
22,8,0,Positive,Negative
22,9,0,Negative,Negative
22,10,0,Negative,Positive
22,11,0,Positive,Positive
22,12,0,Positive,Negative
22,13,0,Negative,Negative
22,14,0,Negative,Positive
22,15,0,Positive,Positive
22,16,1,Positive,Negative
22,17,0,Negative,Negative
22,18,0,Negative,Positive
22,19,0,Positive,Positive
22,20,0,Positive,Negative
22,21,0,Negative,Negative
22,22,0,Negative,Positive
22,23,0,Positive,Positive
22,24,0,Positive,Negative
22,25,0,Negative,Negative
22,26,0,Negative,Positive
22,27,0,Positive,Positive
22,28,0,Positive,Negative
22,29,0,Negative,Negative
22,30,0,Negative,Positive
22,31,0,Positive,Positive
22,32,0,Positive,Negative
23,1,1,Negative,Negative
23,2,0,Negative,Positive
23,3,0,Positive,Positive
23,4,0,Positive,Negative
23,5,0,Negative,Negative
23,6,1,Negative,Positive
23,7,0,Positive,Positive
23,8,1,Positive,Negative
23,9,0,Negative,Negative
23,10,0,Negative,Positive
23,11,0,Positive,Positive
23,12,1,Positive,Negative
23,13,0,Negative,Negative
23,14,0,Negative,Positive
23,15,0,Positive,Positive
23,16,0,Positive,Negative
23,17,0,Negative,Negative
23,18,0,Negative,Positive
23,19,0,Positive,Positive
23,20,0,Positive,Negative
23,21,0,Negative,Negative
23,22,0,Negative,Positive
23,23,0,Positive,Positive
23,24,1,Positive,Negative
23,25,0,Negative,Negative
23,26,0,Negative,Positive
23,27,0,Positive,Positive
23,28,0,Positive,Negative
23,29,0,Negative,Negative
23,30,0,Negative,Positive
23,31,0,Positive,Positive
23,32,0,Positive,Negative
24,1,0,Negative,Negative
24,2,0,Negative,Positive
24,3,0,Positive,Positive
24,4,1,Positive,Negative
24,5,0,Negative,Negative
24,6,1,Negative,Positive
24,7,1,Positive,Positive
24,8,0,Positive,Negative
24,9,0,Negative,Negative
24,10,1,Negative,Positive
24,11,0,Positive,Positive
24,12,0,Positive,Negative
24,13,0,Negative,Negative
24,14,0,Negative,Positive
24,15,0,Positive,Positive
24,16,0,Positive,Negative
24,17,0,Negative,Negative
24,18,0,Negative,Positive
24,19,0,Positive,Positive
24,20,0,Positive,Negative
24,21,0,Negative,Negative
24,22,0,Negative,Positive
24,23,0,Positive,Positive
24,24,0,Positive,Negative
24,25,0,Negative,Negative
24,26,0,Negative,Positive
24,27,0,Positive,Positive
24,28,0,Positive,Negative
24,29,0,Negative,Negative
24,30,0,Negative,Positive
24,31,0,Positive,Positive
24,32,0,Positive,Negative
25,1,0,Positive,Negative
25,2,0,Negative,Negative
25,3,0,Negative,Positive
25,4,0,Positive,Positive
25,5,0,Positive,Negative
25,6,0,Negative,Negative
25,7,0,Negative,Positive
25,8,0,Positive,Positive
25,9,0,Positive,Negative
25,10,0,Negative,Negative
25,11,0,Negative,Positive
25,12,0,Positive,Positive
25,13,1,Positive,Negative
25,14,0,Negative,Negative
25,15,0,Negative,Positive
25,16,0,Positive,Positive
25,17,0,Positive,Negative
25,18,0,Negative,Negative
25,19,0,Negative,Positive
25,20,0,Positive,Positive
25,21,0,Positive,Negative
25,22,0,Negative,Negative
25,23,0,Negative,Positive
25,24,0,Positive,Positive
25,25,1,Positive,Negative
25,26,0,Negative,Negative
25,27,0,Negative,Positive
25,28,0,Positive,Positive
25,29,0,Positive,Negative
25,30,1,Negative,Negative
25,31,0,Negative,Positive
25,32,0,Positive,Positive
26,1,1,Positive,Negative
26,2,1,Negative,Negative
26,3,0,Negative,Positive
26,4,0,Positive,Positive
26,5,0,Positive,Negative
26,6,1,Negative,Negative
26,7,0,Negative,Positive
26,8,1,Positive,Positive
26,9,0,Positive,Negative
26,10,0,Negative,Negative
26,11,0,Negative,Positive
26,12,1,Positive,Positive
26,13,1,Positive,Negative
26,14,0,Negative,Negative
26,15,0,Negative,Positive
26,16,1,Positive,Positive
26,17,1,Positive,Negative
26,18,0,Negative,Negative
26,19,0,Negative,Positive
26,20,0,Positive,Positive
26,21,1,Positive,Negative
26,22,0,Negative,Negative
26,23,0,Negative,Positive
26,24,0,Positive,Positive
26,25,1,Positive,Negative
26,26,1,Negative,Negative
26,27,0,Negative,Positive
26,28,0,Positive,Positive
26,29,0,Positive,Negative
26,30,0,Negative,Negative
26,31,1,Negative,Positive
26,32,1,Positive,Positive
27,1,0,Positive,Negative
27,2,0,Negative,Negative
27,3,0,Negative,Positive
27,4,0,Positive,Positive
27,5,0,Positive,Negative
27,6,0,Negative,Negative
27,7,0,Negative,Positive
27,8,0,Positive,Positive
27,9,0,Positive,Negative
27,10,0,Negative,Negative
27,11,0,Negative,Positive
27,12,0,Positive,Positive
27,13,0,Positive,Negative
27,14,0,Negative,Negative
27,15,0,Negative,Positive
27,16,0,Positive,Positive
27,17,0,Positive,Negative
27,18,0,Negative,Negative
27,19,0,Negative,Positive
27,20,0,Positive,Positive
27,21,0,Positive,Negative
27,22,0,Negative,Negative
27,23,0,Negative,Positive
27,24,0,Positive,Positive
27,25,0,Positive,Negative
27,26,0,Negative,Negative
27,27,0,Negative,Positive
27,28,0,Positive,Positive
27,29,0,Positive,Negative
27,30,0,Negative,Negative
27,31,0,Negative,Positive
27,32,0,Positive,Positive
28,1,0,Positive,Negative
28,2,0,Negative,Negative
28,3,1,Negative,Positive
28,4,0,Positive,Positive
28,5,1,Positive,Negative
28,6,0,Negative,Negative
28,7,0,Negative,Positive
28,8,1,Positive,Positive
28,9,1,Positive,Negative
28,10,0,Negative,Negative
28,11,0,Negative,Positive
28,12,0,Positive,Positive
28,13,0,Positive,Negative
28,14,0,Negative,Negative
28,15,0,Negative,Positive
28,16,0,Positive,Positive
28,17,0,Positive,Negative
28,18,0,Negative,Negative
28,19,0,Negative,Positive
28,20,1,Positive,Positive
28,21,1,Positive,Negative
28,22,1,Negative,Negative
28,23,0,Negative,Positive
28,24,0,Positive,Positive
28,25,0,Positive,Negative
28,26,1,Negative,Negative
28,27,1,Negative,Positive
28,28,0,Positive,Positive
28,29,1,Positive,Negative
28,30,0,Negative,Negative
28,31,0,Negative,Positive
28,32,0,Positive,Positive
29,1,1,Positive,Negative
29,2,0,Negative,Negative
29,3,0,Negative,Positive
29,4,1,Positive,Positive
29,5,0,Positive,Negative
29,6,1,Negative,Negative
29,7,0,Negative,Positive
29,8,0,Positive,Positive
29,9,1,Positive,Negative
29,10,0,Negative,Negative
29,11,1,Negative,Positive
29,12,0,Positive,Positive
29,13,1,Positive,Negative
29,14,0,Negative,Negative
29,15,0,Negative,Positive
29,16,1,Positive,Positive
29,17,0,Positive,Negative
29,18,0,Negative,Negative
29,19,0,Negative,Positive
29,20,0,Positive,Positive
29,21,0,Positive,Negative
29,22,1,Negative,Negative
29,23,0,Negative,Positive
29,24,0,Positive,Positive
29,25,0,Positive,Negative
29,26,1,Negative,Negative
29,27,0,Negative,Positive
29,28,1,Positive,Positive
29,29,0,Positive,Negative
29,30,0,Negative,Negative
29,31,1,Negative,Positive
29,32,1,Positive,Positive
30,1,0,Positive,Negative
30,2,0,Negative,Negative
30,3,1,Negative,Positive
30,4,0,Positive,Positive
30,5,1,Positive,Negative
30,6,1,Negative,Negative
30,7,1,Negative,Positive
30,8,1,Positive,Positive
30,9,1,Positive,Negative
30,10,1,Negative,Negative
30,11,0,Negative,Positive
30,12,1,Positive,Positive
30,13,1,Positive,Negative
30,14,0,Negative,Negative
30,15,1,Negative,Positive
30,16,1,Positive,Positive
30,17,1,Positive,Negative
30,18,1,Negative,Negative
30,19,1,Negative,Positive
30,20,0,Positive,Positive
30,21,1,Positive,Negative
30,22,1,Negative,Negative
30,23,1,Negative,Positive
30,24,0,Positive,Positive
30,25,0,Positive,Negative
30,26,0,Negative,Negative
30,27,1,Negative,Positive
30,28,0,Positive,Positive
30,29,1,Positive,Negative
30,30,1,Negative,Negative
30,31,1,Negative,Positive
30,32,1,Positive,Positive
31,1,1,Positive,Negative
31,2,1,Negative,Negative
31,3,1,Negative,Positive
31,4,0,Positive,Positive
31,5,1,Positive,Negative
31,6,0,Negative,Negative
31,7,0,Negative,Positive
31,8,0,Positive,Positive
31,9,1,Positive,Negative
31,10,0,Negative,Negative
31,11,0,Negative,Positive
31,12,0,Positive,Positive
31,13,1,Positive,Negative
31,14,0,Negative,Negative
31,15,0,Negative,Positive
31,16,0,Positive,Positive
31,17,0,Positive,Negative
31,18,0,Negative,Negative
31,19,0,Negative,Positive
31,20,0,Positive,Positive
31,21,0,Positive,Negative
31,22,0,Negative,Negative
31,23,0,Negative,Positive
31,24,1,Positive,Positive
31,25,0,Positive,Negative
31,26,1,Negative,Negative
31,27,0,Negative,Positive
31,28,0,Positive,Positive
31,29,0,Positive,Negative
31,30,0,Negative,Negative
31,31,1,Negative,Positive
31,32,0,Positive,Positive
32,1,1,Positive,Negative
32,2,0,Negative,Negative
32,3,1,Negative,Positive
32,4,1,Positive,Positive
32,5,1,Positive,Negative
