Participant,Item,RT,Condition
13,16,692,Fast
14,1,635,Fast
14,2,765,Slow
14,3,633,Slow
14,4,645,Fast
14,5,785,Fast
14,6,612,Slow
14,7,734,Slow
14,8,638,Fast
14,9,637,Fast
14,10,723,Slow
14,11,714,Slow
14,12,680,Fast
14,13,610,Fast
14,14,673,Slow
14,15,707,Slow
14,16,693,Fast
15,1,779,Fast
15,2,720,Slow
15,3,779,Slow
15,4,769,Fast
15,5,829,Fast
15,6,746,Slow
15,7,723,Slow
15,8,814,Fast
15,9,691,Fast
15,10,784,Slow
15,11,702,Slow
15,12,715,Fast
15,13,650,Fast
15,14,709,Slow
15,15,789,Slow
15,16,744,Fast
16,1,772,Fast
16,2,737,Slow
16,3,731,Slow
16,4,750,Fast
16,5,757,Fast
16,6,737,Slow
16,7,767,Slow
16,8,819,Fast
16,9,759,Fast
16,10,795,Slow
16,11,739,Slow
16,12,733,Fast
16,13,737,Fast
16,14,667,Slow
16,15,819,Slow
16,16,830,Fast
17,1,701,Fast
17,2,788,Fast
17,3,649,Slow
17,4,658,Slow
17,5,675,Fast
17,6,656,Fast
17,7,734,Slow
17,8,689,Slow
17,9,658,Fast
17,10,703,Fast
17,11,676,Slow
17,12,788,Slow
17,13,609,Fast
17,14,697,Fast
17,15,704,Slow
17,16,685,Slow
18,1,747,Fast
18,2,726,Fast
18,3,721,Slow
18,4,806,Slow
18,5,794,Fast
18,6,660,Fast
18,7,723,Slow
18,8,714,Slow
18,9,665,Fast
18,10,761,Fast
18,11,760,Slow
18,12,690,Slow
18,13,758,Fast
18,14,685,Fast
18,15,862,Slow
18,16,850,Slow
19,1,753,Fast
19,2,720,Fast
19,3,797,Slow
19,4,775,Slow
19,5,829,Fast
19,6,679,Fast
19,7,730,Slow
19,8,705,Slow
19,9,704,Fast
19,10,719,Fast
19,11,701,Slow
19,12,720,Slow
19,13,693,Fast
19,14,727,Fast
19,15,731,Slow
19,16,777,Slow
20,1,814,Fast
20,2,767,Fast
20,3,723,Slow
20,4,758,Slow
20,5,793,Fast
20,6,715,Fast
20,7,819,Slow
20,8,727,Slow
20,9,751,Fast
20,10,747,Fast
20,11,682,Slow
20,12,746,Slow
20,13,696,Fast
20,14,746,Fast
20,15,760,Slow
20,16,745,Slow
21,1,723,Fast
21,2,786,Fast
21,3,704,Slow
21,4,729,Slow
21,5,775,Fast
21,6,686,Fast
21,7,804,Slow
21,8,786,Slow
21,9,651,Fast
21,10,743,Fast
21,11,661,Slow
21,12,714,Slow
21,13,692,Fast
21,14,705,Fast
21,15,822,Slow
21,16,764,Slow
22,1,744,Fast
22,2,764,Fast
22,3,617,Slow
22,4,683,Slow
22,5,648,Fast
22,6,584,Fast
22,7,737,Slow
22,8,701,Slow
22,9,641,Fast
22,10,673,Fast
22,11,624,Slow
22,12,664,Slow
22,13,625,Fast
22,14,700,Fast
22,15,679,Slow
22,16,777,Slow
23,1,756,Fast
23,2,766,Fast
23,3,692,Slow
23,4,757,Slow
23,5,694,Fast
23,6,797,Fast
23,7,728,Slow
23,8,772,Slow
23,9,723,Fast
23,10,700,Fast
23,11,698,Slow
23,12,807,Slow
23,13,652,Fast
23,14,705,Fast
23,15,768,Slow
23,16,692,Slow
24,1,735,Fast
24,2,779,Fast
24,3,670,Slow
24,4,824,Slow
24,5,787,Fast
24,6,771,Fast
24,7,826,Slow
24,8,735,Slow
24,9,710,Fast
24,10,766,Fast
24,11,701,Slow
24,12,708,Slow
24,13,630,Fast
24,14,685,Fast
24,15,813,Slow
24,16,807,Slow
25,1,689,Slow
25,2,684,Fast
25,3,643,Fast
25,4,657,Slow
25,5,724,Slow
25,6,614,Fast
25,7,737,Fast
25,8,679,Slow
25,9,763,Slow
25,10,695,Fast
25,11,624,Fast
25,12,677,Slow
25,13,728,Slow
25,14,666,Fast
25,15,767,Fast
25,16,703,Slow
26,1,795,Slow
26,2,865,Fast
26,3,678,Fast
26,4,724,Slow
26,5,740,Slow
26,6,738,Fast
26,7,731,Fast
26,8,806,Slow
26,9,650,Slow
26,10,786,Fast
26,11,746,Fast
26,12,770,Slow
26,13,717,Slow
26,14,640,Fast
26,15,809,Fast
26,16,844,Slow
27,1,753,Slow
27,2,706,Fast
27,3,692,Fast
27,4,705,Slow
27,5,705,Slow
27,6,651,Fast
27,7,733,Fast
27,8,717,Slow
27,9,711,Slow
27,10,722,Fast
27,11,679,Fast
27,12,674,Slow
27,13,716,Slow
27,14,669,Fast
27,15,783,Fast
27,16,734,Slow
28,1,725,Slow
28,2,669,Fast
28,3,749,Fast
28,4,752,Slow
28,5,761,Slow
28,6,652,Fast
28,7,727,Fast
28,8,748,Slow
28,9,783,Slow
28,10,714,Fast
28,11,655,Fast
28,12,686,Slow
28,13,678,Slow
28,14,670,Fast
28,15,751,Fast
28,16,775,Slow
29,1,850,Slow
29,2,691,Fast
29,3,689,Fast
29,4,808,Slow
29,5,742,Slow
29,6,722,Fast
29,7,729,Fast
29,8,706,Slow
29,9,745,Slow
29,10,703,Fast
29,11,698,Fast
29,12,687,Slow
29,13,580,Slow
29,14,679,Fast
29,15,779,Fast
29,16,754,Slow
30,1,758,Slow
30,2,766,Fast
30,3,769,Fast
30,4,762,Slow
30,5,783,Slow
30,6,733,Fast
30,7,800,Fast
30,8,807,Slow
30,9,729,Slow
30,10,777,Fast
30,11,727,Fast
30,12,762,Slow
30,13,736,Slow
30,14,700,Fast
30,15,838,Fast
30,16,802,Slow
31,1,643,Slow
31,2,709,Fast
31,3,794,Fast
31,4,687,Slow
31,5,780,Slow
31,6,612,Fast
31,7,746,Fast
31,8,715,Slow
31,9,680,Slow
31,10,648,Fast
31,11,603,Fast
31,12,588,Slow
31,13,757,Slow
31,14,540,Fast
31,15,660,Fast
31,16,688,Slow
32,1,770,Slow
32,2,756,Fast
32,3,772,Fast
32,4,787,Slow
32,5,769,Slow
32,6,794,Fast
32,7,754,Fast
32,8,804,Slow
32,9,720,Slow
32,10,754,Fast
32,11,689,Fast
32,12,710,Slow
32,13,738,Slow
32,14,752,Fast
32,15,832,Fast
32,16,748,Slow
33,1,728,Slow
33,2,744,Slow
33,3,704,Fast
33,4,778,Fast
33,5,720,Slow
33,6,737,Slow
33,7,769,Fast
33,8,860,Fast
33,9,661,Slow
33,10,828,Slow
33,11,768,Fast
33,12,672,Fast
33,13,695,Slow
33,14,662,Slow
33,15,894,Fast
33,16,747,Fast
34,1,782,Slow
34,2,841,Slow
34,3,666,Fast
34,4,799,Fast
34,5,805,Slow
34,6,721,Slow
34,7,759,Fast
34,8,718,Fast
34,9,717,Slow
34,10,733,Slow
34,11,653,Fast
34,12,717,Fast
34,13,707,Slow
34,14,706,Slow
34,15,766,Fast
34,16,777,Fast
35,1,767,Fast
35,2,732,Slow
35,3,734,Slow
35,4,685,Fast
35,5,689,Fast
35,6,684,Slow
35,7,759,Slow
35,8,725,Fast
35,9,663,Fast
35,10,719,Slow
35,11,775,Slow
35,12,647,Fast
35,13,641,Fast
35,14,687,Slow
35,15,786,Slow
35,16,800,Fast
36,1,694,Fast
36,2,728,Slow
36,3,715,Slow
36,4,706,Fast
36,5,689,Fast
36,6,685,Slow
36,7,731,Slow
36,8,704,Fast
36,9,686,Fast
36,10,789,Slow
36,11,689,Slow
36,12,728,Fast
36,13,687,Fast
36,14,690,Slow
36,15,819,Slow
36,16,695,Fast
37,1,699,Fast
37,2,783,Fast
37,3,673,Slow
37,4,703,Slow
37,5,639,Fast
37,6,698,Fast
37,7,731,Slow
37,8,691,Slow
37,9,655,Fast
37,10,717,Fast
37,11,701,Slow
37,12,821,Slow
37,13,732,Fast
37,14,714,Fast
37,15,811,Slow
37,16,817,Slow
38,1,788,Fast
38,2,709,Fast
38,3,693,Slow
38,4,757,Slow
38,5,741,Fast
38,6,692,Fast
38,7,728,Slow
38,8,702,Slow
38,9,699,Fast
38,10,727,Fast
38,11,687,Slow
38,12,727,Slow
38,13,646,Fast
38,14,687,Fast
38,15,804,Slow
38,16,745,Slow
39,1,780,Slow
39,2,729,Fast
39,3,685,Fast
39,4,726,Slow
39,5,768,Slow
39,6,716,Fast
39,7,729,Fast
39,8,729,Slow
39,9,749,Slow
39,10,756,Fast
39,11,737,Fast
39,12,672,Slow
39,13,710,Slow
39,14,NA,Fast
39,15,761,Fast
39,16,784,Slow
40,1,812,Slow
40,2,800,Fast
40,3,703,Fast
40,4,727,Slow
40,5,806,Slow
40,6,742,Fast
40,7,807,Fast
40,8,748,Slow
40,9,718,Slow
40,10,759,Fast
40,11,672,Fast
40,12,752,Slow
40,13,900,Slow
40,14,689,Fast
40,15,791,Fast
40,16,818,Slow
41,1,742,Slow
41,2,738,Slow
41,3,666,Fast
41,4,716,Fast
41,5,787,Slow
41,6,748,Slow
41,7,707,Fast
41,8,701,Fast
41,9,675,Slow
41,10,776,Slow
41,11,756,Fast
41,12,663,Fast
41,13,667,Slow
41,14,701,Slow
41,15,794,Fast
41,16,760,Fast
42,1,778,Slow
42,2,744,Slow
42,3,746,Fast
42,4,759,Fast
42,5,810,Slow
42,6,690,Slow
42,7,772,Fast
42,8,711,Fast
42,9,759,Slow
42,10,699,Slow
42,11,707,Fast
42,12,704,Fast
42,13,636,Slow
42,14,764,Slow
42,15,713,Fast
42,16,746,Fast
43,1,730,Slow
43,2,705,Slow
43,3,695,Fast
43,4,710,Fast
43,5,799,Slow
43,6,655,Slow
43,7,709,Fast
43,8,751,Fast
43,9,660,Slow
43,10,683,Slow
43,11,630,Fast
43,12,695,Fast
43,13,635,Slow
43,14,755,Slow
43,15,737,Fast
43,16,785,Fast
44,1,641,Slow
44,2,756,Slow
44,3,788,Fast
44,4,636,Fast
44,5,708,Slow
44,6,680,Slow
44,7,769,Fast
44,8,682,Fast
44,9,646,Slow
44,10,618,Slow
44,11,666,Fast
44,12,629,Fast
44,13,688,Slow
44,14,698,Slow
44,15,804,Fast
44,16,708,Fast
45,1,805,Slow
45,2,687,Slow
45,3,723,Fast
45,4,682,Fast
45,5,750,Slow
45,6,671,Slow
45,7,681,Fast
45,8,662,Fast
45,9,730,Slow
45,10,709,Slow
45,11,606,Fast
45,12,634,Fast
45,13,676,Slow
45,14,717,Slow
45,15,694,Fast
45,16,828,Fast
46,1,726,Slow
46,2,654,Slow
46,3,712,Fast
46,4,729,Fast
46,5,642,Slow
46,6,774,Slow
46,7,769,Fast
46,8,622,Fast
46,9,746,Slow
46,10,711,Slow
46,11,663,Fast
46,12,647,Fast
46,13,647,Slow
46,14,707,Slow
46,15,714,Fast
46,16,743,Fast
47,1,746,Slow
47,2,706,Slow
47,3,663,Fast
47,4,746,Fast
47,5,694,Slow
47,6,676,Slow
47,7,733,Fast
47,8,693,Fast
47,9,648,Slow
47,10,763,Slow
47,11,611,Fast
47,12,620,Fast
47,13,689,Slow
47,14,716,Slow
47,15,726,Fast
47,16,657,Fast
48,1,731,Slow
48,2,710,Slow
48,3,672,Fast
48,4,647,Fast
48,5,672,Slow
48,6,756,Slow
48,7,683,Fast
48,8,676,Fast
48,9,623,Slow
48,10,638,Slow
48,11,678,Fast
48,12,590,Fast
48,13,600,Slow
48,14,804,Slow
48,15,739,Fast
48,16,679,Fast
49,1,775,Fast
49,2,748,Slow
49,3,668,Slow
49,4,726,Fast
49,5,822,Fast
49,6,769,Slow
49,7,743,Slow
49,8,725,Fast
49,9,670,Fast
49,10,708,Slow
49,11,700,Slow
49,12,709,Fast
49,13,654,Fast
49,14,654,Slow
49,15,794,Slow
49,16,712,Fast
50,1,784,Fast
50,2,710,Slow
50,3,676,Slow
50,4,678,Fast
50,5,709,Fast
50,6,698,Slow
50,7,767,Slow
50,8,692,Fast
50,9,637,Fast
50,10,711,Slow
50,11,644,Slow
50,12,632,Fast
50,13,620,Fast
50,14,715,Slow
50,15,738,Slow
50,16,737,Fast
51,1,NA,Fast
51,2,769,Slow
51,3,722,Slow
51,4,719,Fast
51,5,689,Fast
51,6,689,Slow
51,7,778,Slow
51,8,725,Fast
51,9,707,Fast
51,10,801,Slow
51,11,643,Slow
51,12,711,Fast
51,13,NA,Fast
51,14,698,Slow
51,15,812,Slow
51,16,771,Fast
52,1,760,Fast
52,2,731,Slow
52,3,706,Slow
52,4,762,Fast
52,5,742,Fast
52,6,725,Slow
52,7,725,Slow
52,8,741,Fast
52,9,715,Fast
52,10,739,Slow
52,11,728,Slow
52,12,674,Fast
52,13,684,Fast
52,14,677,Slow
52,15,778,Slow
52,16,801,Fast
53,1,752,Fast
53,2,777,Slow
53,3,663,Slow
53,4,722,Fast
53,5,795,Fast
53,6,677,Slow
53,7,759,Slow
53,8,720,Fast
53,9,712,Fast
53,10,785,Slow
53,11,673,Slow
53,12,656,Fast
53,13,670,Fast
53,14,657,Slow
53,15,765,Slow
53,16,677,Fast
54,1,620,Fast
54,2,750,Slow
54,3,618,Slow
54,4,630,Fast
54,5,770,Fast
54,6,597,Slow
54,7,719,Slow
54,8,623,Fast
54,9,622,Fast
54,10,708,Slow
54,11,699,Slow
54,12,665,Fast
54,13,595,Fast
54,14,658,Slow
54,15,692,Slow
54,16,678,Fast
55,1,764,Fast
55,2,705,Slow
55,3,764,Slow
55,4,754,Fast
55,5,814,Fast
55,6,731,Slow
55,7,708,Slow
55,8,799,Fast
55,9,676,Fast
55,10,769,Slow
55,11,687,Slow
55,12,700,Fast
55,13,635,Fast
55,14,694,Slow
55,15,774,Slow
55,16,729,Fast
56,1,757,Fast
56,2,722,Slow
56,3,716,Slow
56,4,735,Fast
56,5,742,Fast
56,6,722,Slow
56,7,752,Slow
56,8,804,Fast
56,9,744,Fast
56,10,780,Slow
56,11,724,Slow
56,12,718,Fast
56,13,722,Fast
56,14,652,Slow
56,15,804,Slow
56,16,815,Fast
57,1,686,Fast
57,2,773,Fast
57,3,634,Slow
57,4,643,Slow
57,5,660,Fast
57,6,641,Fast
57,7,719,Slow
57,8,674,Slow
57,9,643,Fast
57,10,688,Fast
57,11,661,Slow
57,12,773,Slow
57,13,594,Fast
57,14,682,Fast
57,15,689,Slow
57,16,670,Slow
58,1,732,Fast
58,2,711,Fast
58,3,706,Slow
58,4,791,Slow
58,5,779,Fast
58,6,645,Fast
58,7,708,Slow
58,8,699,Slow
58,9,650,Fast
58,10,746,Fast
58,11,745,Slow
58,12,675,Slow
58,13,743,Fast
58,14,670,Fast
58,15,847,Slow
58,16,835,Slow
59,1,738,Fast
59,2,705,Fast
59,3,782,Slow
59,4,760,Slow
59,5,814,Fast
59,6,664,Fast
59,7,715,Slow
59,8,690,Slow
59,9,689,Fast
59,10,704,Fast
59,11,686,Slow
59,12,705,Slow
59,13,678,Fast
59,14,712,Fast
59,15,716,Slow
59,16,762,Slow
60,1,799,Fast
60,2,752,Fast
60,3,708,Slow
60,4,743,Slow
60,5,778,Fast
60,6,700,Fast
60,7,804,Slow
60,8,712,Slow
60,9,736,Fast
60,10,732,Fast
60,11,667,Slow
60,12,731,Slow
60,13,681,Fast
60,14,731,Fast
60,15,745,Slow
60,16,730,Slow
61,1,708,Fast
61,2,771,Fast
61,3,689,Slow
61,4,714,Slow
61,5,760,Fast
61,6,671,Fast
61,7,789,Slow
61,8,771,Slow
61,9,636,Fast
61,10,728,Fast
61,11,646,Slow
61,12,699,Slow
61,13,677,Fast
61,14,690,Fast
61,15,807,Slow
61,16,749,Slow
62,1,729,Fast
62,2,749,Fast
62,3,602,Slow
62,4,668,Slow
62,5,633,Fast
62,6,569,Fast
62,7,722,Slow
62,8,686,Slow
62,9,626,Fast
62,10,658,Fast
62,11,609,Slow
62,12,649,Slow
62,13,610,Fast
62,14,685,Fast
62,15,664,Slow
62,16,762,Slow
63,1,741,Fast
63,2,751,Fast
63,3,677,Slow
63,4,742,Slow
63,5,679,Fast
63,6,782,Fast
63,7,713,Slow
63,8,757,Slow
63,9,708,Fast
63,10,685,Fast
63,11,683,Slow
63,12,792,Slow
63,13,637,Fast
63,14,690,Fast
63,15,753,Slow
63,16,677,Slow
64,1,720,Fast
64,2,764,Fast
64,3,655,Slow
64,4,809,Slow
64,5,772,Fast
64,6,756,Fast
64,7,811,Slow
64,8,720,Slow
64,9,695,Fast
64,10,751,Fast
64,11,686,Slow
64,12,693,Slow
64,13,615,Fast
64,14,670,Fast
64,15,798,Slow
64,16,792,Slow
65,1,674,Slow
65,2,669,Fast
65,3,628,Fast
65,4,642,Slow
65,5,709,Slow
65,6,599,Fast
65,7,722,Fast
65,8,664,Slow
65,9,748,Slow
65,10,680,Fast
65,11,609,Fast
65,12,662,Slow
65,13,713,Slow
65,14,651,Fast
65,15,752,Fast
65,16,688,Slow
66,1,780,Slow
66,2,850,Fast
66,3,663,Fast
66,4,709,Slow
66,5,725,Slow
66,6,723,Fast
66,7,716,Fast
66,8,791,Slow
66,9,635,Slow
66,10,771,Fast
66,11,731,Fast
66,12,755,Slow
66,13,702,Slow
66,14,625,Fast
66,15,794,Fast
66,16,829,Slow
67,1,738,Slow
67,2,691,Fast
67,3,677,Fast
67,4,690,Slow
67,5,690,Slow
67,6,636,Fast
67,7,718,Fast
67,8,702,Slow
67,9,696,Slow
67,10,707,Fast
67,11,664,Fast
67,12,659,Slow
67,13,701,Slow
67,14,654,Fast
67,15,768,Fast
67,16,719,Slow
68,1,710,Slow
68,2,654,Fast
68,3,734,Fast
68,4,737,Slow
68,5,746,Slow
68,6,637,Fast
68,7,712,Fast
68,8,733,Slow
68,9,768,Slow
68,10,699,Fast
68,11,640,Fast
68,12,671,Slow
68,13,663,Slow
68,14,655,Fast
68,15,736,Fast
68,16,760,Slow
69,1,835,Slow
69,2,676,Fast
69,3,674,Fast
69,4,793,Slow
69,5,727,Slow
69,6,707,Fast
69,7,714,Fast
69,8,691,Slow
69,9,730,Slow
69,10,688,Fast
69,11,683,Fast
69,12,672,Slow
69,13,565,Slow
69,14,664,Fast
69,15,764,Fast
69,16,739,Slow
70,1,743,Slow
70,2,751,Fast
70,3,754,Fast
70,4,747,Slow
70,5,768,Slow
70,6,718,Fast
70,7,785,Fast
70,8,792,Slow
70,9,714,Slow
70,10,762,Fast
70,11,712,Fast
70,12,747,Slow
70,13,721,Slow
70,14,685,Fast
70,15,823,Fast
70,16,787,Slow
71,1,628,Slow
71,2,694,Fast
71,3,779,Fast
71,4,672,Slow
71,5,765,Slow
71,6,597,Fast
71,7,731,Fast
71,8,700,Slow
71,9,665,Slow
71,10,633,Fast
71,11,588,Fast
71,12,573,Slow
71,13,742,Slow
71,14,525,Fast
71,15,645,Fast
71,16,673,Slow
72,1,755,Slow
72,2,741,Fast
72,3,757,Fast
72,4,772,Slow
72,5,754,Slow
72,6,779,Fast
72,7,739,Fast
72,8,789,Slow
72,9,705,Slow
72,10,739,Fast
72,11,674,Fast
72,12,695,Slow
72,13,723,Slow
72,14,737,Fast
72,15,817,Fast
72,16,733,Slow
73,1,713,Slow
73,2,729,Slow
73,3,689,Fast
73,4,763,Fast
73,5,705,Slow
73,6,722,Slow
73,7,754,Fast
73,8,845,Fast
73,9,646,Slow
73,10,813,Slow
73,11,753,Fast
73,12,657,Fast
73,13,680,Slow
73,14,647,Slow
73,15,879,Fast
73,16,732,Fast
74,1,767,Slow
74,2,826,Slow
74,3,651,Fast
74,4,784,Fast
74,5,790,Slow
74,6,706,Slow
74,7,744,Fast
74,8,703,Fast
74,9,702,Slow
74,10,718,Slow
74,11,638,Fast
74,12,702,Fast
74,13,692,Slow
74,14,691,Slow
74,15,751,Fast
74,16,762,Fast
75,1,752,Fast
75,2,717,Slow
75,3,719,Slow
75,4,670,Fast
75,5,674,Fast
75,6,669,Slow
75,7,744,Slow
75,8,710,Fast
75,9,648,Fast
75,10,704,Slow
75,11,760,Slow
75,12,632,Fast
75,13,626,Fast
75,14,672,Slow
75,15,771,Slow
75,16,785,Fast
76,1,679,Fast
76,2,713,Slow
76,3,700,Slow
76,4,691,Fast
76,5,674,Fast
76,6,670,Slow
76,7,716,Slow
76,8,689,Fast
76,9,671,Fast
76,10,774,Slow
76,11,674,Slow
76,12,713,Fast
76,13,672,Fast
76,14,675,Slow
76,15,804,Slow
76,16,680,Fast
77,1,684,Fast
77,2,768,Fast
77,3,658,Slow
77,4,688,Slow
77,5,624,Fast
77,6,683,Fast
77,7,716,Slow
77,8,676,Slow
77,9,640,Fast
77,10,702,Fast
77,11,686,Slow
77,12,806,Slow
77,13,717,Fast
77,14,699,Fast
77,15,796,Slow
77,16,802,Slow
78,1,773,Fast
78,2,694,Fast
78,3,678,Slow
78,4,742,Slow
78,5,726,Fast
78,6,677,Fast
78,7,713,Slow
78,8,687,Slow
78,9,684,Fast
78,10,712,Fast
78,11,672,Slow
78,12,712,Slow
78,13,631,Fast
78,14,672,Fast
78,15,789,Slow
78,16,730,Slow
79,1,765,Slow
79,2,714,Fast
79,3,670,Fast
79,4,711,Slow
79,5,753,Slow
79,6,701,Fast
79,7,714,Fast
79,8,714,Slow
79,9,734,Slow
79,10,741,Fast
79,11,722,Fast
79,12,657,Slow
79,13,695,Slow
79,14,NA,Fast
79,15,746,Fast
79,16,769,Slow
80,1,797,Slow
80,2,785,Fast
80,3,688,Fast
80,4,712,Slow
80,5,791,Slow
80,6,727,Fast
80,7,792,Fast
80,8,733,Slow
80,9,703,Slow
80,10,744,Fast
80,11,657,Fast
80,12,737,Slow
80,13,885,Slow
80,14,674,Fast
80,15,776,Fast
80,16,803,Slow
